killing,Open,Close,Neighbors,DToPath,Elevation
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.5,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.75,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.25,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.25,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.333333333,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.5,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.5,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.25,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
1,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
1,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
