terrainid,tx,tz,surface_height
0,999660,1003360,702.54
1,999670,1003360,701.27
2,999680,1003360,700.05
3,999690,1003360,698.924
4,999700,1003360,697.944
5,999710,1003360,697.037
6,999720,1003360,696.231
7,999730,1003360,695.557
8,999740,1003360,694.93
9,999750,1003360,694.291
10,999760,1003360,693.725
11,999770,1003360,693.227
12,999780,1003360,692.823
13,999790,1003360,692.441
14,999800,1003360,692.049
15,999810,1003360,691.719
16,999820,1003360,691.447
17,999830,1003360,691.247
18,999840,1003360,691.008
19,999850,1003360,690.772
20,999860,1003360,690.664
21,999870,1003360,690.569
22,999880,1003360,690.52
23,999890,1003360,690.388
24,999900,1003360,690.224
25,999910,1003360,690.041
26,999920,1003360,689.953
27,999930,1003360,689.87
28,999940,1003360,689.78
29,999950,1003360,689.714
30,999960,1003360,689.627
31,999970,1003360,689.636
32,999980,1003360,689.582
33,999990,1003360,689.47
34,1000000,1003360,689.458
35,1000010,1003360,689.419
36,1000020,1003360,689.365
37,1000030,1003360,689.309
38,1000040,1003360,688.97
39,1000050,1003360,688.402
40,1000060,1003360,687.764
41,1000070,1003360,686.945
42,1000080,1003360,686.113
43,1000090,1003360,685.13
44,1000100,1003360,684.107
45,1000110,1003360,683.135
46,1000120,1003360,682.193
47,1000130,1003360,681.232
48,1000140,1003360,680.378
49,1000150,1003360,679.509
50,1000160,1003360,678.385
51,1000170,1003360,677.095
52,1000180,1003360,675.289
53,1000190,1003360,673.3
54,1000200,1003360,671.561
55,1000210,1003360,669.908
56,1000220,1003360,667.992
57,1000230,1003360,666.359
58,1000240,1003360,664.39
59,1000250,1003360,662.138
60,1000260,1003360,660.097
61,1000270,1003360,658.451
62,1000280,1003360,657.416
63,1000290,1003360,656.702
64,1000300,1003360,656.55
65,1000310,1003360,655.888
66,1000320,1003360,655.51
67,1000330,1003360,656.429
68,1000340,1003360,657.307
69,1000350,1003360,656.704
70,1000360,1003360,655.994
71,1000370,1003360,655.646
72,1000380,1003360,654.832
73,1000390,1003360,653.779
74,1000400,1003360,652.489
75,1000410,1003360,651.598
76,1000420,1003360,650.819
77,1000430,1003360,649.426
78,1000440,1003360,646.986
79,1000450,1003360,644.664
80,1000460,1003360,641.623
81,1000470,1003360,638.384
82,1000480,1003360,636.752
83,1000490,1003360,634.643
84,1000500,1003360,632.109
85,1000510,1003360,629.922
86,1000520,1003360,628.102
87,1000530,1003360,626.675
