X,Z,open,closed,neighbors,DToPath,ElevationChange
8800,15870,0.0338546,0.963365,2.07417741,360.2499816,-0.615734724
8800,15880,0.0671737,0.929439,2.00995966,356.9528895,-0.490753979
8800,15890,0.150986,0.844817,1.69915407,353.6557973,-0.398502135
8800,15900,0.455705,0.538157,1.40773506,350.3587052,-0.333678513
8800,15910,0.917127,0.0710007,1.36010334,347.061613,-0.260679268
8800,15920,0.967561,0.0170488,1.48974008,343.7645209,-0.226613976
8800,15930,0.973739,0.00965056,1.3868719,340.4674287,-0.186972374
8800,15940,0.974504,0.00857498,1.04009484,337.1703366,-0.137070101
8800,15950,0.975492,0.00731699,0.67865071,333.8732444,-0.108241237
8800,15960,0.975864,0.00692461,0.26122831,330.5761523,-0.063726957
8800,15970,0.97605,0.00668476,0.21163389,327.2790601,-0.020777925
8800,15980,0.976209,0.00660354,0.28731854,323.981968,-0.051039082
8800,15990,0.976524,0.00627806,0.15105784,320.6848759,-0.076481569
8800,16000,0.97667,0.00611251,0.32053068,317.3877837,-0.091843913
8800,16010,0.976731,0.00613561,1.08285624,314.0906916,-0.201589061
8800,16020,0.976853,0.00601468,1.12136912,310.7935994,-0.233370779
8800,16030,0.977004,0.00590576,1.97014778,307.4965073,-0.250331041
8800,16040,0.976818,0.00596887,2.05574453,304.1994151,-0.284615474
8800,16050,0.975608,0.00636163,2.22700064,300.902323,-0.27935974
8800,16060,0.975022,0.0065294,2.98689421,297.6052308,-0.299365635
8800,16070,0.971808,0.00682224,2.99240979,294.3081387,-0.281260268
8800,16080,0.206948,0.770451,3.16891914,291.0110465,-0.293289028
8800,16090,2.18E-06,0.988697,3.94389515,287.7139544,-0.324018564
8800,16100,1.72E-10,0.993662,4.17579263,284.4168622,-0.29836472
8800,16110,9.16E-12,0.994635,4.93529173,281.1197701,-0.338997559
8800,16120,5.09E-11,0.993801,4.63474427,277.822678,-0.338217157
8800,16130,1.60E-08,0.990645,5.01543885,274.5255858,-0.366961242
8800,16140,3.51E-06,0.98601,5.92023585,271.2284937,-0.364249851
8800,16150,4.44E-05,0.983479,5.93961887,267.9314015,-0.412552856
8800,16160,0.00262544,0.977641,5.84567967,264.6343094,-0.432808166
8800,16170,0.308496,0.666968,5.00968161,261.3372172,-0.435074937
8800,16180,0.866209,0.105501,5.19789974,258.0401251,-0.397571285
8800,16190,0.952468,0.0167419,6.79164036,254.7430329,-0.350388416
8800,16200,0.970509,0.0068157,6.9032186,251.4459408,-0.235230223
8800,16210,0.971789,0.0065129,6.948421,248.1488486,-0.17467862
8800,16220,0.96859,0.00724751,5.921954,244.8517565,-0.173865847
8800,16230,0.902779,0.066916,4.20150224,241.5546643,-0.110761317
8800,16240,0.081584,0.893657,3.98520828,238.2575722,-0.086553666
8800,16250,0.0015321,0.976921,3.92440964,234.9604801,-0.026380256
8800,16260,0.00249032,0.975564,3.35362513,231.6633879,-0.011182997
8800,16270,0.121939,0.852844,2.48385857,228.3662958,0.001722653
8800,16280,0.936655,0.0323965,2.17436682,225.0692036,-0.049969541
8800,16290,0.972612,0.0061508,2.89867335,221.7721115,-0.231866154
8800,16300,0.977288,0.00544959,2.93676083,218.4750193,-0.329744276
8800,16310,0.977096,0.00550395,2.46720897,215.1779272,-1.061862746
8800,16320,0.977297,0.00536277,2.31313273,211.880835,-2.094709014
8800,16330,0.977746,0.00516325,1.16131005,208.5837429,0
8800,16340,0.977415,0.00532159,1.03472456,205.2866507,0
8800,16350,0.977343,0.0052603,0.99219404,201.9895586,0
8800,16360,0.974863,0.00545031,0.3798015,198.6924664,0
8800,16370,0.969009,0.0062497,0.09575487,195.3953743,0
8800,16380,0.963718,0.00718817,0.05203336,192.0982822,0
8800,16390,0.957367,0.0111586,0.04174409,188.80119,0
8800,16400,0.948238,0.0203533,0.04045217,185.5040979,0
8800,16410,0.945886,0.0220044,0.04439701,182.2070057,0
8800,16420,0.958986,0.00917843,0.04802074,178.9099136,0
8800,16430,0.970324,0.00478125,0.04225831,175.6128214,0
8800,16440,0.975809,0.00343149,0.04470154,172.3157293,0
8800,16450,0.978349,0.00295609,0.05188359,169.0186371,0
8800,16460,0.980065,0.00272048,0.05011668,165.721545,0
8800,16470,0.980783,0.00244905,0.05115806,162.4244528,0
8810,15870,0.137156,0.858828,2.33748802,350.8091563,-0.597163145
8810,15880,0.161952,0.833825,2.40957053,347.5120641,-0.474058957
8810,15890,0.27137,0.723501,2.11603631,344.214972,-0.374200861
8810,15900,0.595367,0.397363,1.71684867,340.9178798,-0.309030078
8810,15910,0.947887,0.0386966,1.74566168,337.6207877,-0.267266873
8810,15920,0.970609,0.0137265,1.60886196,334.3236955,-0.229143665
8810,15930,0.975255,0.00762923,1.41289041,331.0266034,-0.177862311
8810,15940,0.974915,0.00774561,0.97407033,327.7295112,-0.131129244
8810,15950,0.975581,0.00725118,0.60836144,324.4324191,-0.076976222
8810,15960,0.976179,0.00682601,0.31119088,321.1353269,-0.061543537
8810,15970,0.976188,0.00662404,0.1445658,317.8382348,-0.049340416
8810,15980,0.976299,0.00637291,0.11751826,314.5411426,-0.038595128
8810,15990,0.976537,0.00623772,0.12396711,311.2440505,-0.04966068
8810,16000,0.976791,0.00607238,0.20477005,307.9469584,-0.087774024
8810,16010,0.976934,0.00594478,0.70032307,304.6498662,-0.146170204
8810,16020,0.977002,0.00595834,1.04158691,301.3527741,-0.183927717
8810,16030,0.976846,0.005977,1.08747429,298.0556819,-0.217610808
8810,16040,0.976662,0.00602862,2.00783958,294.7585898,-0.237793825
8810,16050,0.976794,0.00594764,2.02942456,291.4614976,-0.239960321
8810,16060,0.976653,0.00618948,2.49479203,288.1644055,-0.261485067
8810,16070,0.975095,0.00636147,2.98644254,284.8673133,-0.251260414
8810,16080,0.911379,0.0605681,3.91332208,281.5702212,-0.282458835
8810,16090,0.00309644,0.980129,3.96347757,278.273129,-0.273465907
8810,16100,1.40E-06,0.989477,3.94990025,274.9760369,-0.283707642
8810,16110,9.16E-08,0.99082,3.9842227,271.6789447,-0.280656539
8810,16120,4.15E-07,0.98953,4.06259885,268.3818526,-0.277473108
8810,16130,1.61E-05,0.986091,4.97694095,265.0847605,-0.301206421
8810,16140,0.00229475,0.978289,5.93087458,261.7876683,-0.323341456
