X,Z,preditcedLethality
9200,15930,1.562619337
9200,15940,0.161768034
9200,15950,0.464061475
9200,15960,1.788688304
9200,15970,2.795504204
9200,15980,3.502403781
9200,15990,3.932079778
9200,16000,4.10356108
9200,16010,4.024755766
9200,16020,3.731228789
9200,16030,3.16259278
9200,16040,2.40578291
9200,16050,1.419159785
9200,16060,0.158355547
9200,16070,-0.859189389
9200,16080,-1.811183076
9200,16090,-3.082416317
9200,16100,-3.388896836
9200,16110,-3.426864297
9200,16120,-3.500117831
9210,15930,1.989455671
9210,15940,0.69831264
9210,15950,-0.093238141
9210,15960,1.348767284
9210,15970,2.472020219
9210,15980,3.286824912
9210,15990,3.82106742
9210,16000,4.08412036
9210,16010,4.106750283
9210,16020,3.861755922
9210,16030,3.346302973
9210,16040,2.673395418
9210,16050,1.859532409
9210,16060,0.746646893
9210,16070,-0.258496115
9210,16080,-1.12028718
9210,16090,-1.930030395
9210,16100,-2.602285948
9210,16110,-2.572347628
9210,16120,-2.175292233
9220,15930,2.379449821
9220,15940,1.193520995
9220,15950,-0.288745391
9220,15960,0.867526313
9220,15970,2.104361194
9220,15980,3.030428393
9220,15990,3.668591584
9220,16000,4.038440803
9220,16010,4.12927061
9220,16020,3.981284973
9220,16030,3.589549061
9220,16040,3.02495733
9220,16050,2.238089775
9220,16060,1.407186805
9220,16070,0.542513444
9220,16080,-0.237759801
9220,16090,-0.946695523
9220,16100,-1.516742673
9220,16110,-1.563088381
9220,16120,-1.293623326
9230,15930,2.726147314
9230,15940,1.648257038
9230,15950,0.28258006
9230,15960,0.34410816
9230,15970,1.696585689
9230,15980,2.735635653
9230,15990,3.479596853
9230,16000,3.934262338
9230,16010,4.120481883
9230,16020,4.041919929
9230,16030,3.750798299
9230,16040,3.275688291
9230,16050,2.765161821
9230,16060,1.979528456
9230,16070,1.194894784
9230,16080,0.471868585
9230,16090,-0.137146237
9230,16100,-0.613867954
9230,16110,-0.645597906
9230,16120,-0.421719119
9240,15930,3.01911082
9240,15940,2.058723972
9240,15950,0.811881283
9240,15960,-0.223082139
9240,15970,1.24724701
9240,15980,2.396583497
9240,15990,3.245769079
9240,16000,3.806782947
9240,16010,4.083588064
9240,16020,4.116500254
9240,16030,3.949601863
9240,16040,3.58632581
9240,16050,3.172342492
9240,16060,2.570571279
9240,16070,2.006857482
9240,16080,1.382243811
9240,16090,0.870955395
9240,16100,0.451997398
9240,16110,0.545276586
9240,16120,0.705206659
9250,15930,3.259399214
9250,15940,2.432474252
9250,15950,1.297092296
9250,15960,-0.158376842
9250,15970,0.755442207
9250,15980,2.020847087
9250,15990,2.971254475
9250,16000,3.640976588
9250,16010,4.016072482
9250,16020,4.15576156
9250,16030,4.052386566
9250,16040,3.857711888
9250,16050,3.576299473
9250,16060,3.170521923
9250,16070,2.699732482
9250,16080,2.217244045
9250,16090,1.783242983
9250,16100,1.540201682
9250,16110,1.459790552
9250,16120,1.194638577
9260,15930,3.472598689
9260,15940,2.760877474
9260,15950,1.741289061
9260,15960,0.403401899
9260,15970,0.221299867
9260,15980,1.603364907
9260,15990,2.665734987
9260,16000,3.43409476
9260,16010,3.929468484
9260,16020,4.16970247
9260,16030,4.195661247
9260,16040,4.142556874
9260,16050,3.956513086
9260,16060,3.744683104
9260,16070,3.394627953
9260,16080,3.071512751
9260,16090,2.648286317
9260,16100,2.198722111
9260,16110,2.379797123
9260,16120,2.599609243
9270,15930,3.666753291
9270,15940,3.056741715
9270,15950,2.145148411
9270,15960,0.923436736
9270,15970,-0.355437497
9270,15980,1.141158344
9270,15990,2.319395019
9270,16000,3.195358847
9270,16010,3.792665715
9270,16020,4.150496434
9270,16030,4.371522513
9270,16040,4.37980255
9270,16050,4.343550993
9270,16060,4.281350885
9270,16070,3.852157684
9270,16080,3.658389252
9270,16090,3.329683818
9270,16100,3.272517984
9270,16110,3.404182495
9270,16120,3.704934757
9280,15930,3.817461999
9280,15940,3.309579327
9280,15950,2.503867545
9280,15960,1.399199823
9280,15970,-0.029367653
9280,15980,0.639468854
9280,15990,1.932060917
9280,16000,2.919814189
9280,16010,3.652530244
9280,16020,4.146231655
9280,16030,4.486633572
9280,16040,4.514368348
9280,16050,4.583291193
9280,16060,4.532171313
9280,16070,4.317557256
9280,16080,4.146390944
9280,16090,4.106073512
9280,16100,4.314050712
9280,16110,4.600232394
9280,16120,4.799961021
9290,15930,3.922852856
9290,15940,3.519617084
9290,15950,2.823086325
9290,15960,1.832012715
9290,15970,0.523385585
9290,15980,0.097551429
9290,15990,1.501447652
9290,16000,2.607906709
9290,16010,3.417934987
9290,16020,4.015770505
9290,16030,4.435996964
9290,16040,4.668481296
9290,16050,4.795210441
9290,16060,4.850280899
9290,16070,4.80769273
9290,16080,4.813730254
9290,16090,4.812379942
9290,16100,4.345448534
9290,16110,4.934265275
9290,16120,5.459411932
9300,15930,3.984994681
9300,15940,3.689263796
9300,15950,3.103687656
9300,15960,2.222322298
9300,15970,1.03262592
9300,15980,-0.487569436
9300,15990,1.033324575
9300,16000,2.244355636
9300,16010,3.183468596
9300,16020,3.887338862
9300,16030,4.412748992
9300,16040,4.812654738
9300,16050,5.067610491
9300,16060,5.232218049
9300,16070,5.035721763
9300,16080,5.137302679
9300,16090,5.257854809
9300,16100,4.493970726
9300,16110,4.87039982
9300,16120,5.249040679
9310,15930,4.014383689
9310,15940,3.822321169
9310,15950,3.342005438
9310,15960,2.553280528
9310,15970,1.489054732
9310,15980,0.096825024
9310,15990,0.521573475
9310,16000,1.847164838
9310,16010,2.903004285
9310,16020,3.738738676
9310,16030,4.386266493
9310,16040,4.783984342
9310,16050,5.197786872
9310,16060,5.463070648
9310,16070,5.57451681
9310,16080,5.777207724
9310,16090,5.267187505
9310,16100,4.568530354
9310,16110,4.859403905
9310,16120,5.143732481
9320,15930,3.922238917
9320,15940,3.848169137
9320,15950,3.495824766
9320,15960,2.839945248
9320,15970,1.904928378
9320,15980,0.635874193
9320,15990,-0.027189713
9320,16000,1.40931913
9320,16010,2.566562792
9320,16020,3.472498082
9320,16030,4.185598823
9320,16040,4.762288103
9320,16050,5.233730327
9320,16060,5.666652047
9320,16070,5.869589128
9320,16080,6.128589387
9320,16090,5.866371115
9320,16100,4.870603473
9320,16110,4.423530988
9320,16120,3.950987839
9330,15930,3.800252832
9330,15940,3.845133206
9330,15950,3.611631364
9330,15960,3.097181327
9330,15970,2.281772649
9330,15980,1.133205598
9330,15990,-0.352199693
9330,16000,0.927429048
9330,16010,2.18286617
9330,16020,3.190155328
9330,16030,4.01685666
9330,16040,4.679762574
9330,16050,5.215547334
9330,16060,5.786399088
9330,16070,6.153431181
9330,16080,6.130175333
9330,16090,5.500621297
9330,16100,5.058121659
9330,16110,4.229683994
9330,16120,3.482458825
9340,15930,3.694963
9340,15940,3.850680276
9340,15950,3.714621026
9340,15960,3.249240614
9340,15970,2.593756445
9340,15980,1.575298861
9340,15990,0.220938874
9340,16000,0.406997024
9340,16010,1.768938024
9340,16020,2.867575905
9340,16030,3.778807982
9340,16040,4.502582218
9340,16050,4.983697421
9340,16060,5.555799571
9340,16070,5.786655334
9340,16080,5.805520584
9340,16090,5.386242329
9340,16100,5.038232705
9340,16110,4.286527891
9340,16120,3.026784069
9350,15930,3.344521971
9350,15940,3.711338227
9350,15950,3.73238657
9350,15960,3.450230668
9350,15970,2.888746381
9350,15980,1.987818669
9350,15990,0.751558281
9350,16000,-0.155745798
9350,16010,1.313082753
9350,16020,2.467694944
9350,16030,3.414491277
9350,16040,4.183648061
9350,16050,4.876734108
9350,16060,5.444733867
9350,16070,5.570886964
9350,16080,5.406929978
9350,16090,5.504524801
9350,16100,4.532513844
9350,16110,3.206518274
9350,16120,2.577833586
9360,15930,2.963713769
9360,15940,3.055211137
9360,15950,3.367682961
9360,15960,3.549159019
9360,15970,3.1328817
9360,15980,2.363043655
9360,15990,1.227451226
9360,16000,-0.223448174
9360,16010,0.810399946
9360,16020,2.076538985
9360,16030,3.097928698
9360,16040,3.940104284
9360,16050,4.658079379
9360,16060,5.179405547
9360,16070,5.128776256
9360,16080,4.639084338
9360,16090,4.410712881
9360,16100,3.238909617
9360,16110,2.571881795
9360,16120,2.450707996
9370,15930,1.981034152
9370,15940,2.291036263
9370,15950,2.679704056
9370,15960,3.133871219
9370,15970,3.27085926
9370,15980,2.637720965
9370,15990,1.665491388
9370,16000,0.339922743
9370,16010,0.281811836
9370,16020,1.657983363
9370,16030,2.792379326
9370,16040,3.618678915
9370,16050,4.194081102
9370,16060,4.596775337
9370,16070,4.46165187
9370,16080,4.371771104
9370,16090,3.985935683
9370,16100,2.736285277
9370,16110,2.471765083
9370,16120,2.392134072
9380,15930,1.417598734
9380,15940,1.847124237
9380,15950,2.313522757
9380,15960,3.071724705
9380,15970,3.434580831
9380,15980,2.888290749
9380,15990,2.053132227
9380,16000,0.857267001
9380,16010,-0.28880367
9380,16020,1.179008519
9380,16030,2.363653678
9380,16040,3.325406766
9380,16050,3.928255456
9380,16060,4.391498646
9380,16070,4.605673782
9380,16080,4.084235975
9380,16090,3.668791047
9380,16100,3.033589081
9380,16110,1.703318555
9380,16120,1.404737062
9390,15930,0.673151119
9390,15940,1.550711218
9390,15950,2.105213007
9390,15960,3.489255857
9390,15970,3.508578892
9390,15980,3.143831773
9390,15990,2.382989337
9390,16000,1.305034819
9390,16010,-0.094961082
9390,16020,0.687344373
9390,16030,1.979822293
9390,16040,3.02775364
9390,16050,3.733053514
9390,16060,4.172701309
9390,16070,4.311093185
9390,16080,3.680336353
9390,16090,3.18326124
9390,16100,2.466488193
9390,16110,1.849167244
9390,16120,1.500253858
9400,15930,0.079010052
9400,15940,1.097184219
9400,15950,2.171664121
9400,15960,3.337024165
9400,15970,3.28521406
9400,15980,3.154223408
9400,15990,2.577089543
9400,16000,1.710296401
9400,16010,0.452003448
9400,16020,0.154693823
9400,16030,1.554837076
9400,16040,2.669588311
9400,16050,3.510842898
9400,16060,4.015715123
9400,16070,4.169602972
9400,16080,3.936209188
9400,16090,3.584694093
9400,16100,2.829928185
9400,16110,2.5649144
9400,16120,1.697740715
9410,15930,-1.166679525
9410,15940,-0.744446446
9410,15950,1.667814612
9410,15960,2.65515521
9410,15970,3.158963826
9410,15980,3.192589146
9410,15990,2.776846769
9410,16000,2.072311639
9410,16010,0.956017567
9410,16020,-0.421317981
9410,16030,1.07662257
9410,16040,2.287785614
9410,16050,3.257829727
9410,16060,3.916965937
9410,16070,4.277235624
9410,16080,4.258636534
9410,16090,3.930416895
9410,16100,3.299462333
9410,16110,2.697733048
9410,16120,1.460104511
9420,15930,-3.572317435
9420,15940,-2.215744764
9420,15950,0.326954151
9420,15960,1.963813384
9420,15970,2.899807194
9420,15980,3.166656087
9420,15990,3.008107575
9420,16000,2.351513547
9420,16010,1.401226943
9420,16020,0.031327607
9420,16030,0.579166095
9420,16040,1.892430462
9420,16050,2.944478501
9420,16060,3.721225707
9420,16070,4.118550032
9420,16080,4.235031715
9420,16090,3.829090966
9420,16100,3.119280828
9420,16110,2.474301078
9420,16120,1.43221756
9430,15930,-4.132311305
9430,15940,-3.117904175
9430,15950,-0.706605398
9430,15960,1.362603184
9430,15970,2.494465093
9430,15980,2.978004692
9430,15990,3.051403032
9430,16000,2.644847034
9430,16010,1.814054847
9430,16020,0.576910146
9430,16030,0.034812417
9430,16040,1.465434785
9430,16050,2.596760559
9430,16060,3.362726668
9430,16070,3.838619777
9430,16080,3.939804526
9430,16090,3.754924284
9430,16100,3.294089262
9430,16110,2.406967928
9430,16120,0.869441651
9440,15930,-4.629045455
9440,15940,-4.467248362
9440,15950,-2.629883988
9440,15960,0.83959778
9440,15970,2.190416334
9440,15980,2.888509493
9440,15990,3.130473843
9440,16000,2.889162036
9440,16010,2.191321224
9440,16020,1.076563386
9440,16030,-0.421111123
9440,16040,0.97786654
9440,16050,2.196505418
9440,16060,3.436982403
9440,16070,3.909944721
9440,16080,3.890366324
9440,16090,3.584414991
9440,16100,3.049897874
9440,16110,2.021017701
9440,16120,0.744170974
9450,15930,-7.435473574
9450,15940,-5.709165816
9450,15950,-3.358266391
9450,15960,-0.594198564
9450,15970,0.857596614
9450,15980,2.209226151
9450,15990,3.160233034
9450,16000,3.037490344
9450,16010,2.480846943
9450,16020,1.517442017
9450,16030,-0.40103752
9450,16040,1.13705088
9450,16050,2.336233179
9450,16060,3.174218766
9450,16070,3.687119347
9450,16080,3.805416964
9450,16090,3.540548491
9450,16100,2.954898588
9450,16110,2.002080072
9450,16120,0.684644827
9460,15930,-9.95369672
9460,15940,-7.437221666
9460,15950,-3.711701367
9460,15960,-1.165311133
9460,15970,0.414958335
9460,15980,1.284778136
9460,15990,2.566828566
9460,16000,3.001394681
9460,16010,2.385830621
9460,16020,1.338765725
9460,16030,-0.117319022
9460,16040,0.755572179
9460,16050,2.033180283
9460,16060,2.960447195
9460,16070,3.501911232
9460,16080,3.730895403
9460,16090,3.477912994
9460,16100,3.029443629
9460,16110,2.057941349
9460,16120,0.669949124
9470,15930,-11.3837065
9470,15940,-8.784728672
9470,15950,-5.395894067
9470,15960,-1.760580582
9470,15970,0.1793326
9470,15980,1.405195448
9470,15990,2.539457989
9470,16000,3.13687031
9470,16010,2.616215371
9470,16020,1.673003659
9470,16030,0.314235203
9470,16040,0.349293878
9470,16050,1.732443484
9470,16060,2.73954618
9470,16070,3.388208948
9470,16080,3.618954421
9470,16090,3.527179605
9470,16100,2.94769481
9470,16110,2.107410896
9470,16120,0.994944593
9480,15930,-11.81436443
9480,15940,-8.881349238
9480,15950,-5.566919746
9480,15960,-2.672066809
9480,15970,-0.13469175
9480,15980,1.211553886
9480,15990,2.814715928
9480,16000,3.20135561
9480,16010,2.796821162
9480,16020,1.976723385
9480,16030,0.719353565
9480,16040,-0.082262747
9480,16050,1.390700932
9480,16060,2.498467225
9480,16070,3.230860827
9480,16080,3.642506926
9480,16090,3.509357103
9480,16100,3.134236293
9480,16110,2.304089455
9480,16120,1.104370321
9490,15930,-11.28255542
9490,15940,-9.293454496
9490,15950,-6.704721833
9490,15960,-1.906063925
9490,15970,0.612189519
9490,15980,2.084884138
9490,15990,2.927715962
9490,16000,3.239650482
9490,16010,2.959451419
9490,16020,2.249395093
9490,16030,1.097809021
9490,16040,-0.433770408
9490,16050,1.027430429
9490,16060,2.240397706
