terrainid,tx,ty,tz,urban,open,closed
0,999660,0,1003360,1.36601e-05,1.34732e-62,0.999986
1,999670,0,1003360,0.000546585,1.28245e-30,0.999453
2,999680,0,1003360,0.00555331,5.5973e-11,0.994447
3,999690,0,1003360,0.0127119,0.000217559,0.987071
4,999700,0,1003360,0.0149214,0.00294157,0.982137
5,999710,0,1003360,0.0140801,0.00121136,0.984709
6,999720,0,1003360,0.011399,2.97157e-05,0.988571
7,999730,0,1003360,0.00987151,1.59083e-06,0.990127
8,999740,0,1003360,0.00872112,1.85732e-07,0.991279
9,999750,0,1003360,0.0089061,3.02903e-07,0.991094
10,999760,0,1003360,0.00961416,7.44678e-07,0.990385
11,999770,0,1003360,0.0105305,2.72966e-06,0.989467
12,999780,0,1003360,0.0106788,4.81823e-06,0.989316
13,999790,0,1003360,0.0115303,1.66207e-05,0.988453
14,999800,0,1003360,0.012228,3.01518e-05,0.987742
15,999810,0,1003360,0.00930787,3.9965e-07,0.990692
16,999820,0,1003360,0.00706722,6.03794e-09,0.992933
17,999830,0,1003360,0.00631624,7.40388e-10,0.993684
18,999840,0,1003360,0.00609736,3.23285e-10,0.993903
19,999850,0,1003360,0.00595204,2.28629e-10,0.994048
20,999860,0,1003360,0.00685447,2.71935e-09,0.993146
21,999870,0,1003360,0.00853842,8.54256e-08,0.991461
22,999880,0,1003360,0.00920517,2.40063e-07,0.990795
23,999890,0,1003360,0.00760284,1.10076e-08,0.992397
24,999900,0,1003360,0.00555011,6.87829e-11,0.99445
25,999910,0,1003360,0.00434361,1.43244e-12,0.995656
26,999920,0,1003360,0.00373057,1.16667e-13,0.996269
27,999930,0,1003360,0.0034345,3.39179e-14,0.996565
28,999940,0,1003360,0.00333897,1.99876e-14,0.996661
29,999950,0,1003360,0.00410157,4.33068e-13,0.995898
30,999960,0,1003360,0.00516719,1.6738e-11,0.994833
31,999970,0,1003360,0.00756086,7.6877e-09,0.992439
32,999980,0,1003360,0.00972097,4.46339e-07,0.990279
33,999990,0,1003360,0.011682,6.89094e-06,0.988311
34,1000000,0,1003360,0.00988674,4.68642e-07,0.990113
35,1000010,0,1003360,0.00726932,3.11418e-09,0.992731
36,1000020,0,1003360,0.00454588,1.46013e-12,0.995454
37,1000030,0,1003360,0.00345359,1.24105e-14,0.996546
38,1000040,0,1003360,0.00185074,2.22788e-19,0.998149
39,1000050,0,1003360,0.00103417,9.62776e-25,0.998966
40,1000060,0,1003360,0.000558379,1.94824e-30,0.999442
41,1000070,0,1003360,0.000466594,1.82516e-32,0.999533
42,1000080,0,1003360,0.000486643,5.63556e-32,0.999513
43,1000090,0,1003360,0.000544662,7.48819e-31,0.999455
44,1000100,0,1003360,0.000443116,6.97323e-33,0.999557
45,1000110,0,1003360,0.000428126,8.42155e-34,0.999572
46,1000120,0,1003360,0.000701627,2.85108e-29,0.999298
47,1000130,0,1003360,0.00191983,2.0985e-20,0.99808
48,1000140,0,1003360,0.00400931,2.69283e-14,0.995991
49,1000150,0,1003360,0.00219781,9.6713e-21,0.997802
50,1000160,0,1003360,0.000163633,5.59211e-45,0.999836
51,1000170,0,1003360,3.29322e-06,1.03033e-78,0.999997
52,1000180,0,1003360,1.34714e-07,2.29934e-106,1
53,1000190,0,1003360,2.84663e-08,5.77462e-120,1
54,1000200,0,1003360,1.91895e-08,5.25047e-123,1
55,1000210,0,1003360,1.80279e-08,1.65982e-123,1
56,1000220,0,1003360,1.17191e-08,1.39723e-126,1
57,1000230,0,1003360,6.80336e-09,3.62339e-129,1
58,1000240,0,1003360,4.85368e-09,8.08683e-131,1
59,1000250,0,1003360,3.9963e-09,1.12465e-132,1
60,1000260,0,1003360,4.99807e-09,2.20881e-132,1
